currency,in_stock,price,rating,title,external_id,url
GBP,True,49.71,5,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,10-day-green-smoothie-cleanse-lose-up-to-15-pounds-in-10-days_581,https://books.toscrape.com/catalogue/10-day-green-smoothie-cleanse-lose-up-to-15-pounds-in-10-days_581/index.html
GBP,True,24.57,2,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",10-happier-how-i-tamed-the-voice-in-my-head-reduced-stress-without-losing-my-edge-and-found-self-help-that-actually-works_582,https://books.toscrape.com/catalogue/10-happier-how-i-tamed-the-voice-in-my-head-reduced-stress-without-losing-my-edge-and-found-self-help-that-actually-works_582/index.html
GBP,True,26.08,5,"1,000 Places to See Before You Die",1000-places-to-see-before-you-die_1,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
GBP,True,48.48,3,11/22/63,112263_583,https://books.toscrape.com/catalogue/112263_583/index.html
GBP,True,27.06,1,13 Hours: The Inside Account of What Really Happened In Benghazi,13-hours-the-inside-account-of-what-really-happened-in-benghazi_645,https://books.toscrape.com/catalogue/13-hours-the-inside-account-of-what-really-happened-in-benghazi_645/index.html
GBP,True,21.80,3,1491: New Revelations of the Americas Before Columbus,1491-new-revelations-of-the-americas-before-columbus_650,https://books.toscrape.com/catalogue/1491-new-revelations-of-the-americas-before-columbus_650/index.html
GBP,True,53.98,1,1st to Die (Women's Murder Club #1),1st-to-die-womens-murder-club-1_2,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
GBP,True,35.79,2,23 Degrees South: A Tropical Tale of Changing Whether...,23-degrees-south-a-tropical-tale-of-changing-whether_556,https://books.toscrape.com/catalogue/23-degrees-south-a-tropical-tale-of-changing-whether_556/index.html
GBP,True,53.63,2,32 Yolks,32-yolks_510,https://books.toscrape.com/catalogue/32-yolks_510/index.html
GBP,True,31.04,1,8 Keys to Mental Health Through Exercise,8-keys-to-mental-health-through-exercise_114,https://books.toscrape.com/catalogue/8-keys-to-mental-health-through-exercise_114/index.html
GBP,True,55.51,1,A Brush of Wings (Angels Walking #3),a-brush-of-wings-angels-walking-3_651,https://books.toscrape.com/catalogue/a-brush-of-wings-angels-walking-3_651/index.html
GBP,True,10.79,3,A Clash of Kings (A Song of Ice and Fire #2),a-clash-of-kings-a-song-of-ice-and-fire-2_356,https://books.toscrape.com/catalogue/a-clash-of-kings-a-song-of-ice-and-fire-2_356/index.html
GBP,True,52.37,1,A Court of Thorns and Roses (A Court of Thorns and Roses #1),a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874,https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html
GBP,True,14.58,3,A Distant Mirror: The Calamitous 14th Century,a-distant-mirror-the-calamitous-14th-century_652,https://books.toscrape.com/catalogue/a-distant-mirror-the-calamitous-14th-century_652/index.html
GBP,True,17.21,4,A Feast for Crows (A Song of Ice and Fire #4),a-feast-for-crows-a-song-of-ice-and-fire-4_357,https://books.toscrape.com/catalogue/a-feast-for-crows-a-song-of-ice-and-fire-4_357/index.html
GBP,True,28.13,4,A Fierce and Subtle Poison,a-fierce-and-subtle-poison_875,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html
GBP,True,55.53,5,A Flight of Arrows (The Pathfinders #2),a-flight-of-arrows-the-pathfinders-2_876,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
GBP,True,46.42,2,A Game of Thrones (A Song of Ice and Fire #1),a-game-of-thrones-a-song-of-ice-and-fire-1_358,https://books.toscrape.com/catalogue/a-game-of-thrones-a-song-of-ice-and-fire-1_358/index.html
GBP,True,44.81,4,A Gathering of Shadows (Shades of Magic #2),a-gathering-of-shadows-shades-of-magic-2_456,https://books.toscrape.com/catalogue/a-gathering-of-shadows-shades-of-magic-2_456/index.html
GBP,True,14.75,5,A Gentleman's Position (Society of Gentlemen #3),a-gentlemans-position-society-of-gentlemen-3_584,https://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html
GBP,True,31.30,1,A Girl's Guide to Moving On (New Beginnings #2),a-girls-guide-to-moving-on-new-beginnings-2_359,https://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html
GBP,True,54.29,5,A Heartbreaking Work of Staggering Genius,a-heartbreaking-work-of-staggering-genius_115,https://books.toscrape.com/catalogue/a-heartbreaking-work-of-staggering-genius_115/index.html
GBP,True,50.49,3,A Hero's Curse (The Unseen Chronicles #1),a-heros-curse-the-unseen-chronicles-1_557,https://books.toscrape.com/catalogue/a-heros-curse-the-unseen-chronicles-1_557/index.html
GBP,True,27.62,1,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310,https://books.toscrape.com/catalogue/a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310/index.html
GBP,True,38.77,1,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",a-la-mode-120-recipes-in-60-pairings-pies-tarts-cakes-crisps-and-more-topped-with-ice-cream-gelato-frozen-custard-and-more_611,https://books.toscrape.com/catalogue/a-la-mode-120-recipes-in-60-pairings-pies-tarts-cakes-crisps-and-more-topped-with-ice-cream-gelato-frozen-custard-and-more_611/index.html
GBP,True,51.77,3,A Light in the Attic,a-light-in-the-attic_1000,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
GBP,True,39.72,1,A Man Called Ove,a-man-called-ove_653,https://books.toscrape.com/catalogue/a-man-called-ove_653/index.html
GBP,True,19.53,3,A Mother's Reckoning: Living in the Aftermath of Tragedy,a-mothers-reckoning-living-in-the-aftermath-of-tragedy_585,https://books.toscrape.com/catalogue/a-mothers-reckoning-living-in-the-aftermath-of-tragedy_585/index.html
GBP,True,16.64,1,A Murder in Time,a-murder-in-time_877,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
GBP,True,13.20,3,"A Murder Over a Girl: Justice, Gender, Junior High",a-murder-over-a-girl-justice-gender-junior-high_511,https://books.toscrape.com/catalogue/a-murder-over-a-girl-justice-gender-junior-high_511/index.html
GBP,True,55.65,5,A New Earth: Awakening to Your Life's Purpose,a-new-earth-awakening-to-your-lifes-purpose_311,https://books.toscrape.com/catalogue/a-new-earth-awakening-to-your-lifes-purpose_311/index.html
GBP,True,39.01,4,A Paris Apartment,a-paris-apartment_612,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
GBP,True,40.79,2,A People's History of the United States,a-peoples-history-of-the-united-states_654,https://books.toscrape.com/catalogue/a-peoples-history-of-the-united-states_654/index.html
GBP,True,56.76,5,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878,https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html
GBP,True,56.48,2,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655,https://books.toscrape.com/catalogue/a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html
GBP,True,56.63,3,A Shard of Ice (The Black Symphony Saga #1),a-shard-of-ice-the-black-symphony-saga-1_558,https://books.toscrape.com/catalogue/a-shard-of-ice-the-black-symphony-saga-1_558/index.html
GBP,True,52.40,5,A Short History of Nearly Everything,a-short-history-of-nearly-everything_457,https://books.toscrape.com/catalogue/a-short-history-of-nearly-everything_457/index.html
