"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","930","test_the_rendered_page_and_the_api_agree_on_the_first_ten_quotes","tests.live","Wed Sep 23 09:46:42 UTC 2026","passed","Wed Sep 23 09:46:43 UTC 2026","","test_quotes_live","",""
"","2","test_the_last_page_has_no_next_link","tests.parsers","Wed Sep 23 09:44:12 UTC 2026","passed","Wed Sep 23 09:44:12 UTC 2026","","test_books_parser","",""
"","1","test_categories_from_a_single_source_is_used_as_is","tests.unit","Wed Sep 23 09:44:20 UTC 2026","passed","Wed Sep 23 09:44:20 UTC 2026","","test_showcase_merge","",""
"","1","test_an_unqualified_key_that_disagrees_between_jobs_is_loud_not_silent","tests.unit","Wed Sep 23 09:44:20 UTC 2026","passed","Wed Sep 23 09:44:20 UTC 2026","","test_showcase_merge","",""
"","0","test_html_escapes_what_the_site_said","tests.unit","Wed Sep 23 09:44:20 UTC 2026","passed","Wed Sep 23 09:44:20 UTC 2026","","test_report","",""
"Finding 2's stronger claim: the files are unconditional, not just ""usually there"".","5","test_every_source_failing_still_writes_both_output_files","tests.integration","Wed Sep 23 09:44:11 UTC 2026","passed","Wed Sep 23 09:44:11 UTC 2026","","test_run","",""
"","1","test_a_figure_states_the_number_the_code_holds[cover.html-quotes.toscrape.com-quotes]","tests.unit","Wed Sep 23 09:44:20 UTC 2026","passed","Wed Sep 23 09:44:20 UTC 2026","","test_showcase_figures","",""
"The page leads with ""changes detected""; without the report there is no
    figure to lead with, and publishing a zero would be a claim about the sites.","0","test_a_missing_change_report_stops_the_build","tests.unit","Wed Sep 23 09:44:20 UTC 2026","passed","Wed Sep 23 09:44:20 UTC 2026","","test_showcase_build","",""
"","0","test_the_script_gives_the_builder_the_real_media_directory","tests.unit","Wed Sep 23 09:44:12 UTC 2026","passed","Wed Sep 23 09:44:12 UTC 2026","","test_publish_showcase_script","",""
"","0","test_a_figure_states_the_number_the_code_holds[architecture.svg-the demo store-products]","tests.unit","Wed Sep 23 09:44:20 UTC 2026","passed","Wed Sep 23 09:44:20 UTC 2026","","test_showcase_figures","",""
"","0","test_availability_text_becomes_a_flag","tests.unit","Wed Sep 23 09:44:12 UTC 2026","passed","Wed Sep 23 09:44:12 UTC 2026","","test_normalize","",""
"","0","test_rendered_markup_yields_text_author_and_tags","tests.parsers","Wed Sep 23 09:44:12 UTC 2026","passed","Wed Sep 23 09:44:12 UTC 2026","","test_quotes_parser","",""
"Number, unit and label are read from the markup, and muted text is skipped.","0","test_the_cover_reader_reads_the_counts_a_card_states","tests.unit","Wed Sep 23 09:44:20 UTC 2026","passed","Wed Sep 23 09:44:20 UTC 2026","","test_showcase_figures","",""
