currency,in_stock,price,rating,title,external_id,url
GBP,True,49.71,5,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,10-day-green-smoothie-cleanse-lose-up-to-15-pounds-in-10-days_581,https://books.toscrape.com/catalogue/10-day-green-smoothie-cleanse-lose-up-to-15-pounds-in-10-days_581/index.html
GBP,True,24.57,2,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",10-happier-how-i-tamed-the-voice-in-my-head-reduced-stress-without-losing-my-edge-and-found-self-help-that-actually-works_582,https://books.toscrape.com/catalogue/10-happier-how-i-tamed-the-voice-in-my-head-reduced-stress-without-losing-my-edge-and-found-self-help-that-actually-works_582/index.html
GBP,True,26.08,5,"1,000 Places to See Before You Die",1000-places-to-see-before-you-die_1,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
GBP,True,48.48,3,11/22/63,112263_583,https://books.toscrape.com/catalogue/112263_583/index.html
GBP,True,27.06,1,13 Hours: The Inside Account of What Really Happened In Benghazi,13-hours-the-inside-account-of-what-really-happened-in-benghazi_645,https://books.toscrape.com/catalogue/13-hours-the-inside-account-of-what-really-happened-in-benghazi_645/index.html
GBP,True,21.80,3,1491: New Revelations of the Americas Before Columbus,1491-new-revelations-of-the-americas-before-columbus_650,https://books.toscrape.com/catalogue/1491-new-revelations-of-the-americas-before-columbus_650/index.html
GBP,True,53.98,1,1st to Die (Women's Murder Club #1),1st-to-die-womens-murder-club-1_2,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
GBP,True,35.79,2,23 Degrees South: A Tropical Tale of Changing Whether...,23-degrees-south-a-tropical-tale-of-changing-whether_556,https://books.toscrape.com/catalogue/23-degrees-south-a-tropical-tale-of-changing-whether_556/index.html
GBP,True,53.63,2,32 Yolks,32-yolks_510,https://books.toscrape.com/catalogue/32-yolks_510/index.html
GBP,True,31.04,1,8 Keys to Mental Health Through Exercise,8-keys-to-mental-health-through-exercise_114,https://books.toscrape.com/catalogue/8-keys-to-mental-health-through-exercise_114/index.html
GBP,True,55.51,1,A Brush of Wings (Angels Walking #3),a-brush-of-wings-angels-walking-3_651,https://books.toscrape.com/catalogue/a-brush-of-wings-angels-walking-3_651/index.html
GBP,True,10.79,3,A Clash of Kings (A Song of Ice and Fire #2),a-clash-of-kings-a-song-of-ice-and-fire-2_356,https://books.toscrape.com/catalogue/a-clash-of-kings-a-song-of-ice-and-fire-2_356/index.html
